pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
08/01/2019;08/01/2019;10/01/2019;10;01;2019;1
01/06/2018;01/06/2018;03/06/2018;03;06;2018;2
18/10/2018;18/10/2018;20/10/2018;20;10;2018;4
18/01/2019;18/01/2019;20/01/2019;20;01;2019;1
11/06/2018;11/06/2018;13/06/2018;13;06;2018;2
04/11/2018;04/11/2018;06/11/2018;06;11;2018;4
19/11/2018;19/11/2018;21/11/2018;21;11;2018;4
03/05/2018;03/05/2018;05/05/2018;05;05;2018;2
12/10/2018;12/10/2018;14/10/2018;14;10;2018;4
12/04/2017;12/04/2017;14/04/2017;14;04;2017;2
03/02/2019;03/02/2019;05/02/2019;05;02;2019;1
06/07/2018;06/07/2018;08/07/2018;08;07;2018;3
22/01/2019;22/01/2019;24/01/2019;24;01;2019;1
24/03/2018;24/03/2018;26/03/2018;26;03;2018;1
25/09/2017;25/09/2017;27/09/2017;27;09;2017;3
19/09/2017;19/09/2017;21/09/2017;21;09;2017;3
17/03/2019;17/03/2019;20/03/2019;20;03;2019;1
21/04/2017;21/04/2017;23/04/2017;23;04;2017;2
22/11/2018;22/11/2018;24/11/2018;24;11;2018;4
29/11/2017;29/11/2017;01/12/2017;01;12;2017;4
05/12/2017;05/12/2017;07/12/2017;07;12;2017;4
22/06/2017;22/06/2017;24/06/2017;24;06;2017;2
17/09/2018;17/09/2018;19/09/2018;19;09;2018;3
04/04/2017;04/04/2017;06/04/2017;06;04;2017;2
19/07/2017;19/07/2017;21/07/2017;21;07;2017;3
01/01/2019;01/01/2019;03/01/2019;03;01;2019;1
20/10/2017;20/10/2017;22/10/2017;22;10;2017;4
13/12/2017;13/12/2017;15/12/2017;15;12;2017;4
26/04/2017;26/04/2017;28/04/2017;28;04;2017;2
02/08/2018;02/08/2018;04/08/2018;04;08;2018;3
23/02/2017;23/02/2017;26/02/2017;26;02;2017;1
24/11/2017;24/11/2017;26/11/2017;26;11;2017;4
13/01/2019;13/01/2019;15/01/2019;15;01;2019;1
29/06/2017;29/06/2017;01/07/2017;01;07;2017;3
14/02/2017;14/02/2017;17/02/2017;17;02;2017;1
19/06/2017;19/06/2017;21/06/2017;21;06;2017;2
11/05/2018;11/05/2018;13/05/2018;13;05;2018;2
16/05/2017;16/05/2017;18/05/2017;18;05;2017;2
11/03/2018;11/03/2018;13/03/2018;13;03;2018;1
20/11/2017;20/11/2017;22/11/2017;22;11;2017;4
26/10/2018;26/10/2018;28/10/2018;28;10;2018;4
30/03/2017;30/03/2017;01/04/2017;01;04;2017;2
19/05/2017;19/05/2017;21/05/2017;21;05;2017;2
11/04/2017;11/04/2017;13/04/2017;13;04;2017;2
23/12/2018;23/12/2018;25/12/2018;25;12;2018;4
03/03/2017;03/03/2017;05/03/2017;05;03;2017;1
07/08/2017;07/08/2017;09/08/2017;09;08;2017;3
16/10/2017;16/10/2017;18/10/2017;18;10;2017;4
21/04/2018;21/04/2018;23/04/2018;23;04;2018;2
15/10/2018;15/10/2018;17/10/2018;17;10;2018;4
13/02/2018;13/02/2018;15/02/2018;15;02;2018;1
15/07/2018;15/07/2018;17/07/2018;17;07;2018;3
14/11/2017;14/11/2017;16/11/2017;16;11;2017;4
18/12/2017;18/12/2017;20/12/2017;20;12;2017;4
22/12/2017;22/12/2017;24/12/2017;24;12;2017;4
20/01/2018;20/01/2018;22/01/2018;22;01;2018;1
06/10/2018;06/10/2018;08/10/2018;08;10;2018;4
02/06/2018;02/06/2018;04/06/2018;04;06;2018;2
16/02/2018;16/02/2018;18/02/2018;18;02;2018;1
21/03/2017;21/03/2017;23/03/2017;23;03;2017;1
30/11/2018;30/11/2018;02/12/2018;02;12;2018;4
28/04/2018;28/04/2018;30/04/2018;30;04;2018;2
12/02/2018;12/02/2018;14/02/2018;14;02;2018;1
09/03/2019;09/03/2019;12/03/2019;12;03;2019;1
20/02/2017;20/02/2017;23/02/2017;23;02;2017;1
30/09/2018;30/09/2018;02/10/2018;02;10;2018;4
24/01/2017;24/01/2017;27/01/2017;27;01;2017;1
12/03/2018;12/03/2018;14/03/2018;14;03;2018;1
17/06/2017;17/06/2017;19/06/2017;19;06;2017;2
