pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
24/08/2017;24/08/2017;26/08/2017;26;08;2017;3
16/08/2018;16/08/2018;18/08/2018;18;08;2018;3
24/03/2017;24/03/2017;26/03/2017;26;03;2017;1
24/04/2017;24/04/2017;26/04/2017;26;04;2017;2
05/02/2018;05/02/2018;07/02/2018;07;02;2018;1
22/11/2017;22/11/2017;24/11/2017;24;11;2017;4
01/11/2017;01/11/2017;03/11/2017;03;11;2017;4
08/04/2018;08/04/2018;10/04/2018;10;04;2018;2
20/10/2018;20/10/2018;22/10/2018;22;10;2018;4
20/08/2018;20/08/2018;22/08/2018;22;08;2018;3
10/08/2017;10/08/2017;12/08/2017;12;08;2017;3
18/10/2017;18/10/2017;20/10/2017;20;10;2017;4
18/05/2017;18/05/2017;20/05/2017;20;05;2017;2
27/04/2017;27/04/2017;29/04/2017;29;04;2017;2
16/08/2017;16/08/2017;18/08/2017;18;08;2017;3
08/05/2017;08/05/2017;10/05/2017;10;05;2017;2
21/11/2017;21/11/2017;23/11/2017;23;11;2017;4
25/08/2017;25/08/2017;27/08/2017;27;08;2017;3
19/08/2018;19/08/2018;21/08/2018;21;08;2018;3
16/01/2018;16/01/2018;18/01/2018;18;01;2018;1
04/03/2019;04/03/2019;07/03/2019;07;03;2019;1
31/03/2017;31/03/2017;02/04/2017;02;04;2017;2
01/09/2018;01/09/2018;03/09/2018;03;09;2018;3
06/01/2019;06/01/2019;08/01/2019;08;01;2019;1
05/11/2018;05/11/2018;07/11/2018;07;11;2018;4
05/09/2017;05/09/2017;07/09/2017;07;09;2017;3
22/02/2017;22/02/2017;25/02/2017;25;02;2017;1
02/02/2019;02/02/2019;04/02/2019;04;02;2019;1
22/03/2017;22/03/2017;24/03/2017;24;03;2017;1
27/06/2017;27/06/2017;29/06/2017;29;06;2017;2
03/10/2017;03/10/2017;05/10/2017;05;10;2017;4
26/01/2019;26/01/2019;28/01/2019;28;01;2019;1
20/09/2017;20/09/2017;22/09/2017;22;09;2017;3
27/01/2018;27/01/2018;29/01/2018;29;01;2018;1
05/10/2017;05/10/2017;07/10/2017;07;10;2017;4
11/11/2018;11/11/2018;13/11/2018;13;11;2018;4
25/11/2018;25/11/2018;27/11/2018;27;11;2018;4
28/10/2018;28/10/2018;30/10/2018;30;10;2018;4
25/04/2017;25/04/2017;27/04/2017;27;04;2017;2
18/08/2018;18/08/2018;20/08/2018;20;08;2018;3
07/12/2017;07/12/2017;09/12/2017;09;12;2017;4
14/07/2018;14/07/2018;16/07/2018;16;07;2018;3
01/03/2019;01/03/2019;03/03/2019;03;03;2019;1
26/12/2017;26/12/2017;28/12/2017;28;12;2017;4
02/12/2018;02/12/2018;04/12/2018;04;12;2018;4
31/08/2017;31/08/2017;02/09/2017;02;09;2017;3
19/03/2018;19/03/2018;21/03/2018;21;03;2018;1
09/08/2017;09/08/2017;11/08/2017;11;08;2017;3
07/09/2018;07/09/2018;09/09/2018;09;09;2018;3
14/06/2018;14/06/2018;16/06/2018;16;06;2018;2
05/01/2018;05/01/2018;07/01/2018;07;01;2018;1
21/06/2017;21/06/2017;23/06/2017;23;06;2017;2
10/11/2018;10/11/2018;12/11/2018;12;11;2018;4
05/03/2018;05/03/2018;07/03/2018;07;03;2018;1
08/01/2018;08/01/2018;10/01/2018;10;01;2018;1
03/08/2018;03/08/2018;05/08/2018;05;08;2018;3
18/03/2018;18/03/2018;20/03/2018;20;03;2018;1
21/05/2018;21/05/2018;23/05/2018;23;05;2018;2
02/02/2017;02/02/2017;05/02/2017;05;02;2017;1
13/02/2017;13/02/2017;16/02/2017;16;02;2017;1
10/02/2019;10/02/2019;12/02/2019;12;02;2019;1
01/12/2017;01/12/2017;03/12/2017;03;12;2017;4
15/03/2018;15/03/2018;17/03/2018;17;03;2018;1
18/11/2018;18/11/2018;20/11/2018;20;11;2018;4
31/08/2018;31/08/2018;02/09/2018;02;09;2018;3
25/10/2018;25/10/2018;27/10/2018;27;10;2018;4
24/02/2019;24/02/2019;26/02/2019;26;02;2019;1
03/11/2017;03/11/2017;05/11/2017;05;11;2017;4
01/10/2018;01/10/2018;03/10/2018;03;10;2018;4
28/06/2018;28/06/2018;30/06/2018;30;06;2018;2
17/02/2018;17/02/2018;19/02/2018;19;02;2018;1
02/01/2018;02/01/2018;04/01/2018;04;01;2018;1
07/04/2017;07/04/2017;09/04/2017;09;04;2017;2
21/10/2018;21/10/2018;23/10/2018;23;10;2018;4
23/08/2017;23/08/2017;25/08/2017;25;08;2017;3
29/12/2018;29/12/2018;31/12/2018;31;12;2018;4
11/02/2019;11/02/2019;13/02/2019;13;02;2019;1
26/06/2018;26/06/2018;28/06/2018;28;06;2018;2
14/01/2018;14/01/2018;16/01/2018;16;01;2018;1
22/07/2018;22/07/2018;24/07/2018;24;07;2018;3
30/07/2018;30/07/2018;01/08/2018;01;08;2018;3
27/02/2017;27/02/2017;01/03/2017;01;03;2017;1
06/12/2018;06/12/2018;08/12/2018;08;12;2018;4
29/05/2017;29/05/2017;31/05/2017;31;05;2017;2
08/02/2019;08/02/2019;10/02/2019;10;02;2019;1
28/12/2017;28/12/2017;30/12/2017;30;12;2017;4
09/02/2018;09/02/2018;11/02/2018;11;02;2018;1
14/09/2017;14/09/2017;16/09/2017;16;09;2017;3
15/08/2017;15/08/2017;17/08/2017;17;08;2017;3
27/04/2018;27/04/2018;29/04/2018;29;04;2018;2
17/11/2017;17/11/2017;19/11/2017;19;11;2017;4
11/08/2017;11/08/2017;13/08/2017;13;08;2017;3
23/03/2018;23/03/2018;25/03/2018;25;03;2018;1
13/10/2017;13/10/2017;15/10/2017;15;10;2017;4
26/03/2018;26/03/2018;28/03/2018;28;03;2018;1
13/08/2018;13/08/2018;15/08/2018;15;08;2018;3
24/10/2017;24/10/2017;26/10/2017;26;10;2017;4
04/08/2018;04/08/2018;06/08/2018;06;08;2018;3
27/07/2017;27/07/2017;29/07/2017;29;07;2017;3
05/02/2017;05/02/2017;08/02/2017;08;02;2017;1
07/03/2019;07/03/2019;10/03/2019;10;03;2019;1
03/04/2017;03/04/2017;05/04/2017;05;04;2017;2
16/03/2018;16/03/2018;18/03/2018;18;03;2018;1
14/12/2018;14/12/2018;16/12/2018;16;12;2018;4
15/12/2017;15/12/2017;17/12/2017;17;12;2017;4
02/08/2017;02/08/2017;04/08/2017;04;08;2017;3
28/01/2018;28/01/2018;30/01/2018;30;01;2018;1
16/02/2019;16/02/2019;18/02/2019;18;02;2019;1
10/10/2017;10/10/2017;12/10/2017;12;10;2017;4
28/07/2017;28/07/2017;30/07/2017;30;07;2017;3
18/07/2017;18/07/2017;20/07/2017;20;07;2017;3
20/09/2018;20/09/2018;22/09/2018;22;09;2018;3
24/07/2017;24/07/2017;26/07/2017;26;07;2017;3
26/10/2017;26/10/2017;28/10/2017;28;10;2017;4
15/06/2018;15/06/2018;17/06/2018;17;06;2018;2
12/07/2017;12/07/2017;14/07/2017;14;07;2017;3
09/10/2017;09/10/2017;11/10/2017;11;10;2017;4
23/11/2017;23/11/2017;25/11/2017;25;11;2017;4
13/05/2018;13/05/2018;15/05/2018;15;05;2018;2
